,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Grand Island,40.925,-98.342,90.36,58,1,5.75,US,1627680884
1,Hong Kong,22.2855,114.1577,84.38,93,93,1.01,HK,1627680696
2,São Sebastião,-23.76,-45.4097,54.28,73,87,3.56,BR,1627680680
3,Dongsheng,39.8161,109.9776,69.82,41,0,11.81,CN,1627680886
4,Vaini,-21.2,-175.2,73.56,94,90,8.05,TO,1627680886
5,Barrow,71.2906,-156.7887,51.82,87,90,9.22,US,1627680722
6,Tura,25.5198,90.2201,74.62,99,100,4.65,IN,1627680887
7,Tuatapere,-46.1333,167.6833,48.81,95,100,4.47,NZ,1627680888
8,Hithadhoo,-0.6,73.0833,81.21,75,93,5.99,MV,1627680888
9,Nanortalik,60.1432,-45.2371,45.1,83,100,11.5,GL,1627680889
10,Teacapan,22.55,-105.75,88.79,64,29,10.76,MX,1627680890
11,San Jose,37.3394,-121.895,100.11,46,20,10.36,US,1627680890
12,Punta Arenas,-53.15,-70.9167,37.51,75,20,14.97,CL,1627680891
13,Ushuaia,-54.8,-68.3,35.26,80,75,18.41,AR,1627680892
14,Rio Grande,-32.035,-52.0986,49.95,68,0,7.85,BR,1627680892
15,Thompson,55.7435,-97.8558,75.36,35,20,17.27,CA,1627680893
16,Hualmay,-11.0964,-77.6139,65.62,77,21,12.57,PE,1627680894
17,Albany,42.6001,-73.9662,75.16,54,24,4.0,US,1627680625
18,Aquiraz,-3.9014,-38.3911,81.18,81,100,10.4,BR,1627680895
19,Moree,-29.4667,149.85,50.02,81,13,14.97,AU,1627680896
20,Timizart,36.8,4.2667,87.08,33,100,5.5,DZ,1627680896
21,Avarua,-21.2078,-159.775,75.25,73,20,12.66,CK,1627680897
22,Manzanillo,20.3433,-77.1167,84.52,70,53,6.51,CU,1627680897
23,Hofn,64.2539,-15.2082,50.36,85,13,8.03,IS,1627680716
24,Upernavik,72.7868,-56.1549,41.05,85,76,14.23,GL,1627680898
25,Mar del Plata,-38.0023,-57.5575,56.12,49,0,12.66,AR,1627680899
